id;start_date;end_date;language
1;2020-02-06T12:45:32;2020-02-06T10:35:47;SPANISH
2;2020-02-05T17:35:43;2020-02-06T12:40:08;SPANISH
3;2020-02-06T08:31:02;2020-02-05T19:05:11;FRENCH
4;2020-02-05T23:48:33;2020-02-06T11:19:59;FRENCH
5;2020-02-06T09:18:51;2020-02-06T14:05:50;FRENCH
6;2020-02-06T03:11:12;2020-02-06T15:19:26;FRENCH
7;2020-02-06T04:56:32;2020-02-05T22:47:23;FRENCH
8;2020-02-06T03:52:45;2020-02-06T14:08:53;SPANISH
9;2020-02-06T02:33:54;2020-02-05T23:15:17;SPANISH
10;2020-02-06T10:45:58;2020-02-05T21:20:28;SPANISH
